Date,Price_1
1/4/2000,2.16
1/5/2000,2.17
1/6/2000,2.18
1/7/2000,2.19
1/10/2000,2.2
1/11/2000,2.23
1/12/2000,2.25
1/13/2000,2.29
1/14/2000,2.28
1/17/2000,.
1/18/2000,2.35
1/19/2000,2.4
1/20/2000,2.53
1/21/2000,2.55
1/24/2000,2.55
1/25/2000,2.66
1/26/2000,2.73
1/27/2000,2.76
1/28/2000,2.84
1/31/2000,2.69
2/1/2000,2.81
2/2/2000,2.91
2/3/2000,2.85
2/4/2000,2.78
2/7/2000,2.81
2/8/2000,2.6
2/9/2000,2.62
2/10/2000,2.65
2/11/2000,2.65
2/14/2000,2.61
2/15/2000,2.61
2/16/2000,2.65
2/17/2000,2.66
2/18/2000,2.65
2/21/2000,.
2/22/2000,2.55
2/23/2000,2.5
2/24/2000,2.52
2/25/2000,2.51
2/28/2000,2.6
2/29/2000,2.65
3/1/2000,2.71
3/2/2000,2.8
3/3/2000,2.72
3/6/2000,2.76
3/7/2000,2.78
3/8/2000,2.74
3/9/2000,2.69
3/10/2000,.
3/13/2000,2.79
3/14/2000,2.83
3/15/2000,2.76
3/16/2000,2.84
3/17/2000,2.81
3/20/2000,2.73
3/21/2000,2.74
3/22/2000,2.78
3/23/2000,2.76
3/24/2000,2.82
3/27/2000,2.82
3/28/2000,2.94
3/29/2000,2.92
3/30/2000,2.83
3/31/2000,2.88
4/3/2000,2.92
4/4/2000,2.87
4/5/2000,2.86
4/6/2000,2.98
4/7/2000,2.99
4/10/2000,2.97
4/11/2000,2.98
4/12/2000,3.05
4/13/2000,3.05
4/14/2000,3.11
4/17/2000,3.13
4/18/2000,3.12
4/19/2000,3.12
4/20/2000,3.07
4/21/2000,.
4/24/2000,3.12
4/25/2000,3.18
4/26/2000,3.12
4/27/2000,3.06
4/28/2000,3.09
5/1/2000,3.16
5/2/2000,3.2
5/3/2000,3.18
5/4/2000,3.09
5/5/2000,3.11
5/8/2000,3.12
5/9/2000,3.25
5/10/2000,3.2
5/11/2000,3.37
5/12/2000,3.35
5/15/2000,3.37
5/16/2000,3.45
5/17/2000,3.49
5/18/2000,3.73
5/19/2000,3.76
5/22/2000,3.95
5/23/2000,3.85
5/24/2000,3.94
5/25/2000,4.18
5/26/2000,4.29
5/29/2000,.
5/30/2000,4.35
5/31/2000,4.52
6/1/2000,4.39
6/2/2000,4.21
6/5/2000,4.17
6/6/2000,4.48
6/7/2000,4.23
6/8/2000,3.96
6/9/2000,4.14
6/12/2000,4.22
6/13/2000,4.27
6/14/2000,4.16
6/15/2000,4.38
6/16/2000,4.45
6/19/2000,4.38
6/20/2000,4.02
6/21/2000,4.14
6/22/2000,4.44
6/23/2000,4.42
6/26/2000,4.37
6/27/2000,4.55
6/28/2000,4.44
6/29/2000,4.25
6/30/2000,4.36
7/3/2000,4.36
7/4/2000,.
7/5/2000,4.24
7/6/2000,4.02
7/7/2000,4
7/10/2000,4.19
7/11/2000,4.17
7/12/2000,4.29
7/13/2000,4.08
7/14/2000,4.17
7/17/2000,4.13
7/18/2000,3.99
7/19/2000,4.07
7/20/2000,3.86
7/21/2000,3.88
7/24/2000,3.74
7/25/2000,3.63
7/26/2000,3.59
7/27/2000,3.75
7/28/2000,3.89
7/31/2000,3.75
8/1/2000,3.78
8/2/2000,4.05
8/3/2000,4.23
8/4/2000,4.25
8/7/2000,4.39
8/8/2000,4.46
8/9/2000,4.48
8/10/2000,4.43
8/11/2000,4.44
8/14/2000,4.42
8/15/2000,4.24
8/16/2000,4.24
8/17/2000,4.35
8/18/2000,4.38
8/21/2000,4.6
8/22/2000,4.8
8/23/2000,4.67
8/24/2000,4.53
8/25/2000,4.55
8/28/2000,4.62
8/29/2000,4.6
8/30/2000,4.61
8/31/2000,4.76
9/1/2000,4.7
9/4/2000,.
9/5/2000,4.81
9/6/2000,4.89
9/7/2000,4.85
9/8/2000,4.74
9/11/2000,4.85
9/12/2000,4.96
9/13/2000,5.06
9/14/2000,5.1
9/15/2000,5.28
9/18/2000,5.06
9/19/2000,5.22
9/20/2000,5.24
9/21/2000,5.16
9/22/2000,5.16
9/25/2000,5.12
9/26/2000,5.28
9/27/2000,5.34
9/28/2000,5.2
9/29/2000,5.1
10/2/2000,5.24
10/3/2000,5.29
10/4/2000,5.22
10/5/2000,5.21
10/6/2000,5.04
10/9/2000,5.09
10/10/2000,5.16
10/11/2000,5.1
10/12/2000,5.54
10/13/2000,5.43
10/16/2000,5.34
10/17/2000,5.27
10/18/2000,5.36
10/19/2000,5.04
10/20/2000,4.84
10/23/2000,4.82
10/24/2000,4.84
10/25/2000,4.64
10/26/2000,4.61
10/27/2000,4.48
10/30/2000,4.56
10/31/2000,4.37
11/1/2000,4.4
11/2/2000,4.5
11/3/2000,4.64
11/6/2000,4.6
11/7/2000,4.68
11/8/2000,4.92
11/9/2000,5.34
11/10/2000,5.24
11/13/2000,5.59
11/14/2000,5.81
11/15/2000,5.95
11/16/2000,5.94
11/17/2000,5.62
11/20/2000,6.23
11/21/2000,6.35
11/22/2000,6.3
11/23/2000,.
11/24/2000,.
11/27/2000,6.24
11/28/2000,5.9
11/29/2000,5.93
11/30/2000,6.31
12/1/2000,6.53
12/4/2000,7.41
12/5/2000,8.03
12/6/2000,8.75
12/7/2000,8.48
12/8/2000,8.13
12/11/2000,9.96
12/12/2000,8.58
12/13/2000,7.8
12/14/2000,7.48
12/15/2000,8.03
12/18/2000,9.28
12/19/2000,9.11
12/20/2000,9.95
12/21/2000,10.49
12/22/2000,10.48
12/25/2000,.
12/26/2000,10.23
12/27/2000,9.58
12/28/2000,9.22
12/29/2000,10.48
1/1/2001,.
1/2/2001,9.97
1/3/2001,9.71
1/4/2001,9.45
1/5/2001,10.03
1/8/2001,10.31
1/9/2001,9.95
1/10/2001,9.91
1/11/2001,8.95
1/12/2001,8.75
1/15/2001,.
1/16/2001,8.16
1/17/2001,7.85
1/18/2001,7.09
1/19/2001,7.61
1/22/2001,7.7
1/23/2001,7.02
1/24/2001,6.81
1/25/2001,6.81
1/26/2001,7
1/29/2001,6.76
1/30/2001,5.96
1/31/2001,5.83
2/1/2001,5.82
2/2/2001,6.76
2/5/2001,6.15
2/6/2001,5.59
2/7/2001,5.67
2/8/2001,6.24
2/9/2001,6.24
2/12/2001,5.74
2/13/2001,5.58
2/14/2001,5.89
2/15/2001,5.35
2/16/2001,5.57
2/19/2001,.
2/20/2001,5.17
2/21/2001,5.2
2/22/2001,5.11
2/23/2001,5.05
2/26/2001,5.07
2/27/2001,5.07
2/28/2001,5.25
3/1/2001,5.25
3/2/2001,5.06
3/5/2001,5.32
3/6/2001,5.27
3/7/2001,5.22
3/8/2001,5.25
3/9/2001,5.13
3/12/2001,4.98
3/13/2001,5.08
3/14/2001,4.99
3/15/2001,5.27
3/16/2001,5.27
3/19/2001,5.27
3/20/2001,5.27
3/21/2001,5.16
3/22/2001,5.16
3/23/2001,5.16
3/26/2001,5.23
3/27/2001,5.47
3/28/2001,5.6
3/29/2001,5.31
3/30/2001,5.35
4/2/2001,5.25
4/3/2001,5.25
4/4/2001,5.24
4/5/2001,5.27
4/6/2001,5.33
4/9/2001,5.45
4/10/2001,5.55
4/11/2001,5.45
4/12/2001,5.32
4/13/2001,.
4/16/2001,5.48
4/17/2001,5.36
4/18/2001,5.15
4/19/2001,5.06
4/20/2001,5
4/23/2001,5.09
4/24/2001,5.13
4/25/2001,4.98
4/26/2001,4.92
4/27/2001,4.83
4/30/2001,4.73
5/1/2001,4.55
5/2/2001,4.54
5/3/2001,4.46
5/4/2001,4.5
5/7/2001,4.33
5/8/2001,4.22
5/9/2001,4.15
5/10/2001,4.17
5/11/2001,4.25
5/14/2001,4.28
5/15/2001,4.46
5/16/2001,4.46
5/17/2001,4.2
5/18/2001,4.15
5/21/2001,4.14
5/22/2001,4.04
5/23/2001,4.11
5/24/2001,4.12
5/25/2001,3.83
5/28/2001,.
5/29/2001,3.86
5/30/2001,3.66
5/31/2001,3.73
6/1/2001,3.7
6/4/2001,3.98
6/5/2001,3.93
6/6/2001,3.76
6/7/2001,3.68
6/8/2001,3.62
6/11/2001,3.91
6/12/2001,4.05
6/13/2001,4.13
6/14/2001,3.92
6/15/2001,3.86
6/18/2001,3.91
6/19/2001,3.96
6/20/2001,3.83
6/21/2001,3.69
6/22/2001,3.68
6/25/2001,3.56
6/26/2001,3.46
6/27/2001,3.39
6/28/2001,3.2
6/29/2001,2.91
7/2/2001,2.92
7/3/2001,3
7/4/2001,.
7/5/2001,3.09
7/6/2001,2.99
7/9/2001,3.1
7/10/2001,3.2
7/11/2001,3.21
7/12/2001,3.29
7/13/2001,3.15
7/16/2001,3.08
7/17/2001,3.14
7/18/2001,3.15
7/19/2001,3.01
7/20/2001,2.97
7/23/2001,3.02
7/24/2001,3
7/25/2001,3.06
7/26/2001,3.26
7/27/2001,3.06
7/30/2001,3.28
7/31/2001,3.31
8/1/2001,3.27
8/2/2001,3.15
8/3/2001,3.06
8/6/2001,3.07
8/7/2001,3.16
8/8/2001,3.11
8/9/2001,3.1
8/10/2001,2.99
8/13/2001,3
8/14/2001,3.05
8/15/2001,3.15
8/16/2001,3.46
8/17/2001,3.24
8/20/2001,3.17
8/21/2001,3.18
8/22/2001,3.2
8/23/2001,2.87
8/24/2001,2.77
8/27/2001,2.61
8/28/2001,2.57
8/29/2001,2.46
8/30/2001,2.47
8/31/2001,2.15
9/3/2001,.
9/4/2001,2.23
9/5/2001,2.34
9/6/2001,2.43
9/7/2001,2.36
9/10/2001,2.38
9/11/2001,2.38
9/12/2001,2.44
9/13/2001,2.39
9/14/2001,2.41
9/17/2001,2.36
9/18/2001,2.18
9/19/2001,2.13
9/20/2001,2.06
9/21/2001,2.04
9/24/2001,1.99
9/25/2001,1.94
9/26/2001,1.88
9/27/2001,1.9
9/28/2001,1.8
10/1/2001,1.74
10/2/2001,1.83
10/3/2001,1.97
10/4/2001,2.13
10/5/2001,2.11
10/8/2001,2.02
10/9/2001,2.11
10/10/2001,2.22
10/11/2001,2.41
10/12/2001,2.28
10/15/2001,2.26
10/16/2001,2.51
10/17/2001,2.61
10/18/2001,2.39
10/19/2001,2.31
10/22/2001,2.61
10/23/2001,2.82
10/24/2001,2.67
10/25/2001,3.15
10/26/2001,3.06
10/29/2001,3.21
10/30/2001,3.11
10/31/2001,3.07
11/1/2001,2.99
11/2/2001,2.93
11/5/2001,2.87
11/6/2001,2.72
11/7/2001,2.73
11/8/2001,2.68
11/9/2001,2.61
11/12/2001,2.45
11/13/2001,2.38
11/14/2001,2.29
11/15/2001,1.99
11/16/2001,1.69
11/19/2001,2.08
11/20/2001,2.55
11/21/2001,1.91
11/22/2001,.
11/23/2001,.
11/26/2001,1.79
11/27/2001,1.87
11/28/2001,2.3
11/29/2001,2.19
11/30/2001,1.83
12/3/2001,2.1
12/4/2001,2
12/5/2001,1.89
12/6/2001,1.81
12/7/2001,2.11
12/10/2001,2.28
12/11/2001,2.58
12/12/2001,2.57
12/13/2001,2.4
12/14/2001,2.4
12/17/2001,2.4
12/18/2001,2.4
12/19/2001,2.4
12/20/2001,2.4
12/21/2001,2.4
12/24/2001,.
12/25/2001,.
12/26/2001,2.4
12/27/2001,2.4
12/28/2001,2.4
12/31/2001,2.4
1/1/2002,.
1/2/2002,2.55
1/3/2002,2.58
1/4/2002,2.58
1/7/2002,2.58
1/8/2002,2.39
1/9/2002,2.31
1/10/2002,2.32
1/11/2002,2.32
1/14/2002,2.32
1/15/2002,2.32
1/16/2002,2.38
1/17/2002,2.4
1/18/2002,2.28
1/21/2002,.
1/22/2002,2.28
1/23/2002,2.28
1/24/2002,2.13
1/25/2002,2.03
1/28/2002,2.03
1/29/2002,2.03
1/30/2002,2.28
1/31/2002,2.28
2/1/2002,2.28
2/4/2002,2.28
2/5/2002,2.28
2/6/2002,2.14
2/7/2002,2.17
2/8/2002,2.21
2/11/2002,2.22
2/12/2002,2.39
2/13/2002,2.37
2/14/2002,2.26
2/15/2002,2.18
2/18/2002,.
2/19/2002,2.32
2/20/2002,2.41
2/21/2002,2.4
2/22/2002,2.4
2/25/2002,2.4
2/26/2002,2.46
2/27/2002,2.49
2/28/2002,2.49
3/1/2002,2.51
3/4/2002,2.66
3/5/2002,2.63
3/6/2002,2.52
3/7/2002,2.73
3/8/2002,2.82
3/11/2002,2.9
3/12/2002,2.94
3/13/2002,2.97
3/14/2002,2.78
3/15/2002,2.99
3/18/2002,3.15
3/19/2002,3.33
3/20/2002,3.29
3/21/2002,3.2
3/22/2002,3.57
3/25/2002,3.46
3/26/2002,3.59
3/27/2002,3.35
3/28/2002,3.18
3/29/2002,.
4/1/2002,3.43
4/2/2002,3.72
